item_internal,game_name
229,Alien Swarm
854,Cities Skylines
980,Counter-Strike
986,Counter-Strike Source
1133,Day of Defeat
1181,Deathmatch Classic
1250,Deus Ex Human Revolution
1338,Dota 2
2071,Half-Life
2072,Half-Life 2
2073,Half-Life 2 Deathmatch
2074,Half-Life 2 Episode One
2075,Half-Life 2 Episode Two
2076,Half-Life 2 Lost Coast
2078,Half-Life Blue Shift
2080,Half-Life Opposing Force
3224,Portal
3225,Portal 2
3533,Ricochet
4259,Team Fortress 2
4260,Team Fortress Classic
176,Age of Empires II HD Edition
324,Arma 2
328,Arma 2 Operation Arrowhead
329,Arma 2 Operation Arrowhead Beta (Obsolete)
444,Banished
728,Call of Duty Black Ops
729,Call of Duty Black Ops - Multiplayer
738,Call of Duty Modern Warfare 2
739,Call of Duty Modern Warfare 2 - Multiplayer
742,Call of Duty Modern Warfare 3
743,Call of Duty Modern Warfare 3 - Multiplayer
745,Call of Duty World at War
983,Counter-Strike Global Offensive
3546,Rise of Nations Extended Edition
4494,The Stanley Parable
4541,Thief
4542,Thief - Ghost
4543,Thief - Opportunist
4544,Thief - Predator
4545,Thief - The Bank Heist
4546,Thief 2
4547,Thief Deadly Shadows
4548,Thief Gold
4665,Total War ATTILA
5023,Worms Armageddon
177,Age of Empires II HD The Forgotten
208,Alan Wake
209,Alan Wake's American Nightmare
381,Audiosurf
428,Back to the Future Ep 1 - It's About Time
429,Back to the Future Ep 2 - Get Tannen!
430,Back to the Future Ep 3 - Citizen Brown
431,Back to the Future Ep 4 - Double Visions
432,Back to the Future Ep 5 - OUTATIME
621,Borderlands 2
1249,Deus Ex Game of the Year Edition
1252,Deus Ex Human Revolution - The Missing Link
1253,Deus Ex Invisible War
1268,DiRT 3
1269,DiRT 3 Complete Edition
1271,DiRT Showdown
1637,FTL Faster Than Light
1693,Far Cry 3
2122,Hector Ep 1
2123,Hector Ep 2
2124,Hector Ep 3
2374,Killer is Dead
2434,L.A. Noire
2477,Left 4 Dead 2
2670,Max Payne 3
3025,Operation Flashpoint Dragon Rising
3026,Operation Flashpoint Red River
3059,Overlord
3061,Overlord II
3062,Overlord Raising Hell
3213,Poker Night at the Inventory
3314,Puzzle Agent
3315,Puzzle Agent 2
3548,Rise of the Argonauts
3686,Sam & Max 301 The Penal Zone
3687,Sam & Max 302 The Tomb of Sammun-Mak
3688,Sam & Max 303 They Stole Max's Brain!
3689,Sam & Max 304 Beyond the Alley of the Dolls
3690,Sam & Max 305 The City that Dares not Sleep
3744,Serious Sam 2
3745,Serious Sam 3 BFE
3746,Serious Sam Classic The First Encounter
3747,Serious Sam Classic The Second Encounter
3748,Serious Sam Classics Revolution
3749,Serious Sam Double D XXL
3750,Serious Sam HD The First Encounter
3753,Serious Sam The Random Encounter
3873,Skyrim High Resolution Texture Pack
4366,The Elder Scrolls V Skyrim
4367,The Elder Scrolls V Skyrim - Dawnguard
4368,The Elder Scrolls V Skyrim - Dragonborn
4369,The Elder Scrolls V Skyrim - Hearthfire
4518,The Walking Dead
4598,Tom Clancy's Ghost Recon Advanced Warfighter
4599,Tom Clancy's Ghost Recon Advanced Warfighter 2
4601,Tom Clancy's Ghost Recon Future Soldier
4644,Tom Clancy's Splinter Cell Conviction
4660,Torchlight II
4721,Tropico 4
4779,Universe Sandbox
4880,Wallace & Gromit Ep 1 Fright of the Bumblebees
4881,Wallace & Gromit Ep 2 The Last Resort
4882,Wallace & Gromit Ep 3 Muzzled!
4883,Wallace & Gromit Ep 4 The Bogey Man
5055,XCOM Enemy Unknown
981,Counter-Strike Condition Zero
982,Counter-Strike Condition Zero Deleted Scenes
740,Call of Duty Modern Warfare 2 - Resurgence Pack
741,Call of Duty Modern Warfare 2 Stimulus Package
2079,Half-Life Deathmatch Source
2275,Insurgency Modern Infantry Combat
5028,Worms Reloaded
40,7 Days to Die
86,ARK Survival Evolved
178,Age of Empires III Complete Collection
184,Age of Wonders III
216,Alien Breed 2 Assault
239,Alpha Protocol
257,Amnesia A Machine for Pigs
259,Amnesia The Dark Descent
309,Aquaria
343,Armikrog
350,Arx Fatalis
402,Awesomenauts
438,Baldur's Gate II Enhanced Edition
458,Batman Arkham Origins
478,BattleBlock Theater
481,Battlefield Bad Company 2
524,BioShock Infinite
525,BioShock Infinite - Season Pass
526,BioShock Infinite Burial at Sea - Episode 1
527,BioShock Infinite Burial at Sea - Episode 2
620,Borderlands
660,Broken Age
666,Brothers - A Tale of Two Sons
670,Brtal Legend
680,Bulletstorm
748,Call of Juarez Gunslinger
789,Castle Crashers
809,Cave Story+
828,Child of Light
834,Chivalry Medieval Warfare
929,Company of Heroes
930,Company of Heroes (New Steam Version)
935,Company of Heroes Opposing Fronts
936,Company of Heroes Tales of Valor
1026,Crusader Kings II
1041,Crysis 2 Maximum Edition
1068,DARK SOULS II
1069,DARK SOULS II - Season Pass
1070,DARK SOULS II Crown of the Old Iron King
1071,DARK SOULS II Scholar of the First Sin
1106,Dark Souls Prepare to Die Edition
1112,Darkest Dungeon
1116,Darksiders
1117,Darksiders II
1141,Dead Island
1162,Deadlight
1171,Dear Esther
1290,Dishonored
1309,Divinity Original Sin
1310,Divinity Original Sin Enhanced Edition
1312,DmC Devil May Cry
1327,Don't Starve
1330,Don't Starve Together Beta
1361,Dragon Age Origins - Ultimate Edition
1390,Driver San Francisco
1398,DuckTales Remastered
1407,Dungeon Defenders
1428,Dungeons of Dredmor
1436,Dying Light
1506,Endless Legend
1554,Euro Truck Simulator 2
1593,F.E.A.R. 3
1673,Fallout
1680,Fallout 4
1681,Fallout New Vegas
1682,Fallout New Vegas Courier's Stash
1683,Fallout New Vegas Dead Money
1684,Fallout New Vegas Honest Hearts
1861,Galactic Civilizations II Ultimate Edition
1896,Garry's Mod
1931,Gish
1945,Goat Simulator
1955,Gone Home
2003,Grim Fandango Remastered
2015,Guacamelee! Gold Edition
2040,Gunpoint
2042,Guns of Icarus Online
2097,Hardland
2165,Hitman Absolution
2169,Hitman Sniper Challenge
2187,Hotline Miami
2268,Insanely Twisted Shadow Planet
2274,Insurgency
2327,Jazzpunk
2331,Jet Set Radio
2346,Just Cause 2
2347,Just Cause 2 Multiplayer Mod
2377,Killing Floor 2
2408,Kingdoms of Amalur Reckoning
2436,LEGO Batman 2
2442,LEGO MARVEL Super Heroes
2465,Lara Croft and the Guardian of Light
2476,Left 4 Dead
2485,Legend of Grimrock
2486,Legend of Grimrock 2
2531,Little Inferno
2551,Lost Planet Extreme Condition
2561,Lugaru HD 
2577,METAL GEAR SOLID V GROUND ZEROES
2578,METAL GEAR SOLID V THE PHANTOM PAIN
2594,Machinarium
2612,Magicka
2653,Mark of the Ninja
2661,Mass Effect 2
2714,Metro 2033
2717,Metro Last Light
2733,Might & Magic Heroes VI
2762,Monaco
2764,Monkey Island 2 Special Edition
2798,Mortal Kombat X
2903,Natural Selection 2
2933,Nexuiz
2934,Nexuiz Beta
2935,Nexuiz STUPID Mode
2937,NiGHTS into Dreams...
2938,Nidhogg
2979,ORION Prelude
2986,Octodad Dadliest Catch
3003,OlliOlli
3031,Orcs Must Die! 2
3051,Outlast
3067,PAYDAY 2
3076,PROTOTYPE 2
3102,"Papers, Please"
3115,Patch testing for Chivalry
3128,Penumbra Overture
3143,Pillars of Eternity
3261,Prison Architect
3295,Prototype
3296,Prototype 2 RADNET Access Pack
3364,RAGE
3470,Red Faction Armageddon
3472,Red Faction Guerrilla Steam Edition
3557,Risk of Rain
3572,Rocket League
3578,Rogue Legacy
3615,Rust
3640,STAR WARS Knights of the Old Republic II The Sith Lords
3660,Saints Row IV
3662,Saints Row The Third
3693,Samorost 2
3695,Sanctum
3696,Sanctum 2
3700,Satellite Reign
3702,Savage Lands
3719,Scribblenauts Unlimited
3751,Serious Sam HD The Second Encounter
3762,Shadow Warrior
3771,Shadowrun Dragonfall
3772,Shadowrun Dragonfall - Director's Cut
3773,Shadowrun Hong Kong
3774,Shadowrun Returns
3820,Sid Meier's Civilization Beyond Earth
3827,Sid Meier's Civilization V
3828,Sid Meier's Civilization V Brave New World
3861,"Sir, You Are Being Hunted"
3881,Sleeping Dogs
3922,Sonic & All-Stars Racing Transformed
3927,Sonic Generations
3936,South Park The Stick of Truth
3970,Spec Ops The Line
4008,Squishy the Suicidal Pig
4009,Stacking
4039,Starbound
4041,Starbound - Unstable
4057,State of Decay
4118,Styx Master of Shadows
4168,Surgeon Simulator
4267,Teleglitch Die More Edition
4278,Terraria
4307,The Banner Saga
4308,The Banner Saga - Mod Content
4315,The Binding of Isaac
4335,The Cave
4383,The Forest
4427,The Long Dark
4430,The Lord of the Rings War in the North
4475,The Secret of Monkey Island Special Edition
4497,The Swapper
4499,The Talos Principle
4504,The Testament of Sherlock Holmes
4519,The Walking Dead Season Two
4524,The Witcher 2 Assassins of Kings Enhanced Edition
4525,The Witcher 3 Wild Hunt
4527,The Witcher 3 Wild Hunt - New Finisher Animations
4531,The Wolf Among Us
4590,To the Moon
4642,Tom Clancy's Splinter Cell Blacklist
4646,Tomb Raider
4648,Tomb Raider Anniversary
4659,Torchlight
4673,Tower of Guns
4697,Transformers Fall of Cybertron
4700,Transistor
4712,Tribes Ascend - Steam Starter Pack
4714,Trine 2
4772,Undertale
4790,Unturned
4854,Viscera Cleanup Detail Shadow Warrior
4915,"Warhammer 40,000 Dawn of War II"
4917,"Warhammer 40,000 Dawn of War II - Chaos Rising"
4926,Warhammer End Times - Vermintide
4927,Warhammer End Times - Vermintide Sigmar's Blessing
4939,Wasteland 1 - The Original Classic
4940,Wasteland 2
4941,Wasteland 2 Director's Cut
5016,World of Goo
5056,XCOM Enemy Within
984,Counter-Strike Nexon Zombies
1474,Eldevin
1664,Fallen Earth
2621,Magicka Wizard Wars
3196,PlanetSide 2
3421,RaceRoom Racing Experience 
3427,Ragnarok Online 2
3452,Realm of the Mad God
3545,Rise of Incarnates
4440,The Mighty Quest For Epic Loot
4900,Warface
5155,theHunter
732,Call of Duty Black Ops II
733,Call of Duty Black Ops II - Multiplayer
734,Call of Duty Black Ops II - Zombies
1114,Darkest Hour Europe '44-'45
1134,Day of Defeat Source
2651,Mare Nostrum
3476,Red Orchestra Ostfront 41-45
4887,War Thunder
403,Axel & Pixel
424,BRINK
480,Battlefield 2
522,BioShock
523,BioShock 2
602,Bloody Good Time
628,Borderlands DLC Claptraps New Robot Revolution
629,Borderlands DLC Mad Moxxi's Underdome Riot
630,Borderlands DLC The Secret Armory of General Knoxx
631,Borderlands DLC The Zombie Island of Dr. Ned
725,Call of Duty 4 Modern Warfare
726,Call of Duty Advanced Warfare
727,Call of Duty Advanced Warfare - Multiplayer
736,Call of Duty Ghosts
737,Call of Duty Ghosts - Multiplayer
868,CivCity Rome
1103,Dark Messiah of Might & Magic Multi-Player
1104,Dark Messiah of Might & Magic Single Player
1135,DayZ
1154,Dead Space
1403,Duke Nukem Forever
1549,Eufloria
1550,Eufloria HD
1551,Eufloria HD Original Soundtrack
1810,Freedom Force
1811,Freedom Force vs. the 3rd Reich
1819,Front Mission Evolved
2081,Half-Life Source
2148,Heroes of Annihilated Empires
2177,Homefront
2203,Hydrophobia Prophecy
2209,I Am Alive
2226,Ignite
2375,Killing Floor
2379,Killing Floor Mod Defence Alliance 2
2599,Mafia
2600,Mafia II
2660,Mass Effect
2669,Max Payne 2 The Fall of Max Payne
2681,Medal of Honor Pre-Order
2682,Medal of Honor(TM) Multiplayer
2683,Medal of Honor(TM) Single Player
2848,NBA 2K10
2849,NBA 2K11
2954,No More Room in Hell
3040,Osmos
