Plat,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role_Playing,Shooter,Simulation,Sports,Strategy
2600,61,2,2,5,9,11,6,0,24,1,12,0
3DO,0,1,0,0,0,1,0,0,0,1,0,0
3DS,182,37,14,53,28,20,11,86,7,30,26,15
DC,3,11,12,0,2,0,6,4,3,1,10,0
DS,343,240,36,393,92,238,67,200,42,285,148,79
GB,6,5,0,8,19,15,2,21,1,5,9,7
GBA,167,38,23,110,142,41,64,73,40,18,88,18
GC,101,20,42,36,73,13,63,27,48,12,110,11
GEN,3,2,5,1,7,0,1,3,1,0,3,1
GG,0,0,0,0,1,0,0,0,0,0,0,0
N64,38,4,29,18,30,12,57,8,24,10,80,9
NES,13,1,4,2,29,14,4,11,7,0,14,0
NG,0,0,11,0,0,0,0,0,0,0,1,0
PC,165,65,6,24,11,25,60,104,148,115,49,188
PCFX,0,0,0,0,0,0,0,1,0,0,0,0
PS,157,69,108,76,64,32,145,97,96,60,222,70
PS2,348,196,150,222,103,18,216,187,160,90,400,71
PS3,380,74,76,124,37,3,92,119,156,31,213,24
PS4,122,19,17,15,11,1,17,47,34,5,43,5
PSP,222,213,74,106,36,44,65,192,37,29,135,60
PSV,142,86,16,24,10,3,11,83,5,3,23,7
SAT,3,26,31,15,5,5,8,17,22,7,16,18
SCD,0,0,0,2,1,0,1,1,0,0,0,1
SNES,12,4,25,17,26,13,9,50,10,9,49,15
TG16,0,1,0,0,0,0,0,0,1,0,0,0
WS,0,0,0,0,0,0,0,4,0,0,0,2
Wii,238,84,42,280,58,55,95,35,66,87,263,25
WiiU,63,3,5,21,16,4,3,6,10,1,8,3
X360,324,47,65,126,24,7,105,76,203,40,220,28
XB,155,26,48,46,49,7,123,23,132,24,170,21
XOne,68,12,7,15,4,0,19,13,33,3,36,3
